id	genes
Zhang-Barres_oligodendrocytes_2	
Patel_anticellcycle	ENSG00000168610, ENSG00000132530, ENSG00000109046, ENSG00000102804, ENSG00000102359, ENSG00000124479, ENSG00000214548, ENSG00000047849, ENSG00000117139, ENSG00000115548, ENSG00000171988, ENSG00000099860, ENSG00000100393, ENSG00000198947, ENSG00000164463, ENSG00000160058, ENSG00000150347, ENSG00000163947
Patel_anticellcycle_1	ENSG00000132530, ENSG00000102804, ENSG00000124479, ENSG00000047849, ENSG00000164463, ENSG00000160058, ENSG00000163947
Patel_anticellcycle_2	ENSG00000168610, ENSG00000109046, ENSG00000102359, ENSG00000214548, ENSG00000117139, ENSG00000115548, ENSG00000171988, ENSG00000099860, ENSG00000100393, ENSG00000198947, ENSG00000150347
Patel_cellcycle	ENSG00000131747, ENSG00000089685, ENSG00000111602, ENSG00000171848, ENSG00000163808, ENSG00000170312, ENSG00000094804, ENSG00000175305, ENSG00000169679, ENSG00000178999, ENSG00000156802
Patel_cellcycle_1	
Patel_cellcycle_2	ENSG00000131747, ENSG00000089685, ENSG00000111602, ENSG00000171848, ENSG00000163808, ENSG00000170312, ENSG00000094804, ENSG00000175305, ENSG00000169679, ENSG00000178999, ENSG00000156802
Patel_immune	ENSG00000117318, ENSG00000026508, ENSG00000135926, ENSG00000149591, ENSG00000112096, ENSG00000005020, ENSG00000149131, ENSG00000196136, ENSG00000173432, ENSG00000170989, ENSG00000233670, ENSG00000164708, ENSG00000176046, ENSG00000166741, ENSG00000065534, ENSG00000092841, ENSG00000196091, ENSG00000283944, ENSG00000008394, ENSG00000069535, ENSG00000152137, ENSG00000206503, ENSG00000173221, ENSG00000139278, ENSG00000131095, ENSG00000162645, ENSG00000117228, ENSG00000115414, ENSG00000164125, ENSG00000168309, ENSG00000064886, ENSG00000133048, ENSG00000163618, ENSG00000125730, ENSG00000182326, ENSG00000159403, ENSG00000072110, ENSG00000175899
Patel_immune_1	ENSG00000135926, ENSG00000005020, ENSG00000149131, ENSG00000196136, ENSG00000170989, ENSG00000233670, ENSG00000164708, ENSG00000176046, ENSG00000065534, ENSG00000196091, ENSG00000008394, ENSG00000069535, ENSG00000152137, ENSG00000131095, ENSG00000164125, ENSG00000168309, ENSG00000064886, ENSG00000163618, ENSG00000125730, ENSG00000182326
Patel_immune_2	ENSG00000117318, ENSG00000026508, ENSG00000149591, ENSG00000112096, ENSG00000173432, ENSG00000166741, ENSG00000092841, ENSG00000283944, ENSG00000206503, ENSG00000173221, ENSG00000139278, ENSG00000162645, ENSG00000117228, ENSG00000115414, ENSG00000133048, ENSG00000159403, ENSG00000072110, ENSG00000175899
Patel_hypoxia	ENSG00000116016, ENSG00000112715, ENSG00000150991, ENSG00000059804, ENSG00000087074, ENSG00000102144, ENSG00000124785, ENSG00000104419, ENSG00000187193, ENSG00000131981, ENSG00000134333, ENSG00000115461, ENSG00000135245, ENSG00000087086, ENSG00000114023, ENSG00000074800, ENSG00000156508, ENSG00000164096, ENSG00000148926
Patel_hypoxia_1	ENSG00000150991, ENSG00000124785, ENSG00000104419, ENSG00000087086, ENSG00000114023, ENSG00000074800, ENSG00000164096
Patel_hypoxia_2	ENSG00000116016, ENSG00000112715, ENSG00000059804, ENSG00000087074, ENSG00000102144, ENSG00000187193, ENSG00000131981, ENSG00000134333, ENSG00000115461, ENSG00000135245, ENSG00000156508, ENSG00000148926
Patel_stemness	ENSG00000170439, ENSG00000171951, ENSG00000221932, ENSG00000164434, ENSG00000106278, ENSG00000135744, ENSG00000118971, ENSG00000152583, ENSG00000150625, ENSG00000006468, ENSG00000138413, ENSG00000135821, ENSG00000172020, ENSG00000129244, ENSG00000240694, ENSG00000277443, ENSG00000078018, ENSG00000137872, ENSG00000162599, ENSG00000168175, ENSG00000106066, ENSG00000120251, ENSG00000137726, ENSG00000137575, ENSG00000140262, ENSG00000120885, ENSG00000147588, ENSG00000198961, ENSG00000113369, ENSG00000198668, ENSG00000018189, ENSG00000140391, ENSG00000102804, ENSG00000117461, ENSG00000166562, ENSG00000079459, ENSG00000215301, ENSG00000203880, ENSG00000100612, ENSG00000170961, ENSG00000067064, ENSG00000111674, ENSG00000081853, ENSG00000134982, ENSG00000179222, ENSG00000254004, ENSG00000147140, ENSG00000255823, ENSG00000166974, ENSG00000064490, ENSG00000100979
Patel_stemness_1	ENSG00000171951, ENSG00000221932, ENSG00000135744, ENSG00000152583, ENSG00000150625, ENSG00000135821, ENSG00000129244, ENSG00000240694, ENSG00000078018, ENSG00000162599, ENSG00000120251, ENSG00000120885, ENSG00000147588, ENSG00000198961, ENSG00000198668, ENSG00000018189, ENSG00000140391, ENSG00000102804, ENSG00000166562, ENSG00000079459, ENSG00000100612, ENSG00000067064, ENSG00000111674, ENSG00000081853, ENSG00000134982, ENSG00000179222, ENSG00000255823, ENSG00000166974, ENSG00000100979
Patel_stemness_2	ENSG00000170439, ENSG00000164434, ENSG00000106278, ENSG00000118971, ENSG00000006468, ENSG00000138413, ENSG00000172020, ENSG00000277443, ENSG00000137872, ENSG00000168175, ENSG00000106066, ENSG00000137726, ENSG00000137575, ENSG00000140262, ENSG00000113369, ENSG00000117461, ENSG00000215301, ENSG00000203880, ENSG00000170961, ENSG00000254004, ENSG00000147140, ENSG00000064490
DarmanisBarres_astrocytes	ENSG00000139155, ENSG00000080493, ENSG00000148482, ENSG00000182902, ENSG00000144040, ENSG00000124145, ENSG00000164188, ENSG00000100033, ENSG00000008394, ENSG00000170075, ENSG00000121742, ENSG00000152661, ENSG00000131095, ENSG00000068078, ENSG00000138696, ENSG00000127249, ENSG00000171885, ENSG00000135744, ENSG00000103740
DarmanisBarres_astrocytes_1	ENSG00000139155, ENSG00000080493, ENSG00000148482, ENSG00000182902, ENSG00000144040, ENSG00000124145, ENSG00000164188, ENSG00000100033, ENSG00000008394, ENSG00000170075, ENSG00000121742, ENSG00000152661, ENSG00000131095, ENSG00000068078, ENSG00000138696, ENSG00000127249, ENSG00000171885, ENSG00000135744, ENSG00000103740
DarmanisBarres_astrocytes_2	
DarmanisBarres_Endothelial	ENSG00000169908, ENSG00000198959, ENSG00000135111, ENSG00000187800, ENSG00000163132, ENSG00000123243, ENSG00000213949, ENSG00000136244, ENSG00000185885, ENSG00000165949, ENSG00000090339, ENSG00000127920, ENSG00000054598, ENSG00000149564, ENSG00000124205, ENSG00000221869, ENSG00000178878, ENSG00000135046
DarmanisBarres_Endothelial_1	ENSG00000163132, ENSG00000123243, ENSG00000185885, ENSG00000124205
DarmanisBarres_Endothelial_2	ENSG00000169908, ENSG00000198959, ENSG00000135111, ENSG00000187800, ENSG00000213949, ENSG00000136244, ENSG00000165949, ENSG00000090339, ENSG00000127920, ENSG00000054598, ENSG00000149564, ENSG00000221869, ENSG00000178878, ENSG00000135046
DarmanisBarres_FetalNeuronsquiescent	ENSG00000167552, ENSG00000158164, ENSG00000034510, ENSG00000104435, ENSG00000196935, ENSG00000124766, ENSG00000176887, ENSG00000155926, ENSG00000119042, ENSG00000134986, ENSG00000053438, ENSG00000164600, ENSG00000171532, ENSG00000169184, ENSG00000254726, ENSG00000113657, ENSG00000077279, ENSG00000119866, ENSG00000150594
DarmanisBarres_FetalNeuronsquiescent_1	ENSG00000167552, ENSG00000104435, ENSG00000155926, ENSG00000053438, ENSG00000164600, ENSG00000171532, ENSG00000169184, ENSG00000077279, ENSG00000119866, ENSG00000150594
DarmanisBarres_FetalNeuronsquiescent_2	ENSG00000158164, ENSG00000034510, ENSG00000196935, ENSG00000124766, ENSG00000176887, ENSG00000119042, ENSG00000134986, ENSG00000254726, ENSG00000113657
