NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_140	ENSG00000135698	1500	0.24229136109352112	0.11310167	No	
row_141	ENSG00000131981	1522	0.2395639419555664	0.11171985	No	
row_142	ENSG00000151917	1525	0.2386137843132019	0.11257741	No	
row_143	ENSG00000158467	1537	0.23705750703811646	0.112365015	No	
row_144	ENSG00000148848	1541	0.2366451770067215	0.113095455	No	
row_145	ENSG00000106571	1546	0.23581244051456451	0.113703996	No	
row_146	ENSG00000104047	1552	0.23535259068012238	0.11419234	No	
row_147	ENSG00000106605	1562	0.23470136523246765	0.11420532	No	
row_148	ENSG00000159840	1564	0.2346319556236267	0.11516272	No	
row_149	ENSG00000159685	1570	0.23389272391796112	0.11564437	No	
row_150	ENSG00000163697	1587	0.23177586495876312	0.11481731	No	
row_151	ENSG00000163661	1599	0.23037125170230865	0.11457426	No	
row_152	ENSG00000107537	1602	0.23014898598194122	0.11539302	No	
row_153	ENSG00000088035	1622	0.22836831212043762	0.11419606	No	
row_154	ENSG00000122958	1623	0.22827132046222687	0.1152424	No	
row_155	ENSG00000106069	1626	0.22773410379886627	0.116050094	No	
row_156	ENSG00000135540	1638	0.2263234704732895	0.1157885	No	
row_157	ENSG00000168724	1651	0.2251603752374649	0.11540347	No	
row_158	ENSG00000121058	1662	0.22460375726222992	0.115252085	No	
row_159	ENSG00000140382	1689	0.2217026650905609	0.11319793	No	
row_160	ENSG00000151929	1702	0.22047822177410126	0.11279145	No	
row_161	ENSG00000116171	1711	0.21927087008953094	0.1128518	No	
row_162	ENSG00000100387	1712	0.21917256712913513	0.11385643	No	
row_163	ENSG00000233593	1717	0.21868205070495605	0.11438645	No	
row_164	ENSG00000168938	1722	0.21815422177314758	0.11491404	No	
row_165	ENSG00000166949	1727	0.21776778995990753	0.11543987	No	
row_166	ENSG00000167323	1730	0.21763940155506134	0.11620129	No	
row_167	ENSG00000185483	1738	0.2164405733346939	0.11636675	No	
row_168	ENSG00000230747	1746	0.2155449241399765	0.116528116	No	
row_169	ENSG00000187147	1747	0.21536202728748322	0.11751528	No	
row_170	ENSG00000121964	1754	0.21419064700603485	0.11778852	No	
row_171	ENSG00000137203	1776	0.2126675844192505	0.11628342	No	
row_172	ENSG00000231672	1777	0.21237385272979736	0.11725689	No	
row_173	ENSG00000075539	1786	0.21176284551620483	0.117282815	No	
row_174	ENSG00000124831	1794	0.21135097742080688	0.11742496	No	
row_175	ENSG00000168386	1796	0.2111441045999527	0.118274696	No	
row_176	ENSG00000136451	1807	0.21019841730594635	0.11805727	No	
row_177	ENSG00000135912	1808	0.21003654599189758	0.11902003	No	
row_178	ENSG00000261455	1809	0.20991890132427216	0.11998224	No	
row_179	ENSG00000121060	1814	0.20914874970912933	0.120468564	No	
row_180	ENSG00000169122	1823	0.20806501805782318	0.12047755	No	
row_181	ENSG00000137364	1828	0.2073698490858078	0.12095571	No	
row_182	ENSG00000136715	1835	0.20698182284832	0.12119591	No	
row_183	ENSG00000102606	1838	0.20688019692897797	0.12190802	No	
row_184	ENSG00000166171	1847	0.2061682939529419	0.12190831	No	
row_185	ENSG00000141905	1849	0.20573432743549347	0.12273325	No	
row_186	ENSG00000173517	1872	0.20355354249477386	0.12106827	No	
row_187	ENSG00000166444	1879	0.2025589495897293	0.1212882	No	
row_188	ENSG00000153317	1891	0.2016165852546692	0.12091335	No	
row_189	ENSG00000140577	1899	0.20092959702014923	0.12100772	No	
row_190	ENSG00000048052	1900	0.20084793865680695	0.12192836	No	
row_191	ENSG00000138641	1913	0.19954600930213928	0.12142593	No	
row_192	ENSG00000230124	1917	0.19929715991020203	0.121985175	No	
row_193	ENSG00000110696	1920	0.19881221652030945	0.1226603	No	
row_194	ENSG00000197261	1927	0.19769231975078583	0.12285792	No	
row_195	ENSG00000138785	1929	0.1976505070924759	0.12364581	No	
row_196	ENSG00000164323	1935	0.19730421900749207	0.12395974	No	
row_197	ENSG00000171016	1943	0.19675171375274658	0.12403496	No	
row_198	ENSG00000134138	1953	0.19604791700839996	0.12387077	No	
row_199	ENSG00000164938	1956	0.19594833254814148	0.12453277	No	
row_200	ENSG00000137463	1963	0.19511179625988007	0.12471856	No	
row_201	ENSG00000080200	1980	0.19361650943756104	0.12371658	No	
row_202	ENSG00000169567	1992	0.19315269589424133	0.12330294	No	
row_203	ENSG00000197044	1995	0.19295933842658997	0.12395123	No	
row_204	ENSG00000128039	1997	0.19276994466781616	0.124716744	No	
row_205	ENSG00000233006	1998	0.19268982112407684	0.1256	No	
row_206	ENSG00000114861	2001	0.19238053262233734	0.12624563	No	
row_207	ENSG00000260088	2008	0.19193249940872192	0.12641685	No	
row_208	ENSG00000243449	2024	0.19047383964061737	0.12551856	No	
row_209	ENSG00000147604	2026	0.1902092695236206	0.12627234	No	
row_210	ENSG00000109472	2030	0.18958680331707	0.12678708	No	
row_211	ENSG00000197321	2117	0.18185532093048096	0.11746478	No	
row_212	ENSG00000236830	2126	0.1809251755475998	0.11734936	No	
row_213	ENSG00000138190	2131	0.18048135936260223	0.11770427	No	
row_214	ENSG00000112320	2134	0.18029935657978058	0.11829454	No	
row_215	ENSG00000180818	2147	0.17902760207653046	0.11769806	No	
row_216	ENSG00000241399	2148	0.1790264993906021	0.118518665	No	
row_217	ENSG00000146263	2152	0.1787780523300171	0.118983865	No	
row_218	ENSG00000100196	2158	0.1781795769929886	0.11921014	No	
row_219	ENSG00000181982	2159	0.1779259443283081	0.1200257	No	
row_220	ENSG00000260027	2161	0.17786328494548798	0.12072289	No	
row_221	ENSG00000114302	2166	0.17714335024356842	0.12106251	No	
row_222	ENSG00000198363	2192	0.1747155487537384	0.118911065	No	
row_223	ENSG00000063438	2195	0.17460690438747406	0.11947524	No	
row_224	ENSG00000113296	2219	0.17292256653308868	0.11755177	No	
row_225	ENSG00000136717	2220	0.1725824922323227	0.11834284	No	
row_226	ENSG00000170006	2223	0.1721574068069458	0.118895784	No	
row_227	ENSG00000127423	2236	0.17077098786830902	0.11826145	No	
row_228	ENSG00000173482	2243	0.17020586133003235	0.11833309	No	
row_229	ENSG00000069869	2248	0.1700126826763153	0.11864001	No	
row_230	ENSG00000177383	2259	0.16932249069213867	0.11823522	No	
row_231	ENSG00000163625	2268	0.16874995827674866	0.118064	No	
row_232	ENSG00000061656	2291	0.16641925275325775	0.11622881	No	
row_233	ENSG00000135905	2297	0.16593560576438904	0.11639895	No	
row_234	ENSG00000139173	2300	0.16531145572662354	0.116920516	No	
row_235	ENSG00000198034	2326	0.16354171931743622	0.11471786	No	
row_236	ENSG00000065485	2346	0.16220493614673615	0.11321763	No	
row_237	ENSG00000174748	2359	0.16102975606918335	0.11253864	No	
row_238	ENSG00000019549	2361	0.1608927994966507	0.11315805	No	
row_239	ENSG00000129003	2377	0.15968920290470123	0.11211865	No	
row_240	ENSG00000163635	2385	0.1593274623155594	0.112022325	No	
row_241	ENSG00000067900	2395	0.15891924500465393	0.11168794	No	
row_242	ENSG00000151773	2400	0.15850210189819336	0.11194211	No	
row_243	ENSG00000135454	2403	0.15829871594905853	0.112431526	No	
row_244	ENSG00000129084	2407	0.15796828269958496	0.11280134	No	
row_245	ENSG00000166266	2409	0.15790481865406036	0.113407046	No	
row_246	ENSG00000121957	2420	0.15726414322853088	0.11294699	No	
row_247	ENSG00000138696	2446	0.1556418091058731	0.11070812	No	
row_248	ENSG00000187866	2448	0.15548281371593475	0.11130272	No	
row_249	ENSG00000069020	2453	0.15497997403144836	0.11154074	No	
row_250	ENSG00000124313	2475	0.15372419357299805	0.10976545	No	
row_251	ENSG00000205683	2481	0.15328440070152283	0.10987761	No	
row_252	ENSG00000187608	2500	0.1514894664287567	0.10844635	No	
row_253	ENSG00000128654	2501	0.15148159861564636	0.1091407	No	
row_254	ENSG00000138430	2526	0.1501314640045166	0.106994666	No	
row_255	ENSG00000143819	2533	0.14958660304546356	0.106971785	No	
row_256	ENSG00000250222	2534	0.1495193988084793	0.10765714	No	
row_257	ENSG00000102007	2550	0.14787018299102783	0.10656357	No	
row_258	ENSG00000130956	2563	0.14630572497844696	0.105817094	No	
row_259	ENSG00000135045	2566	0.14609812200069427	0.10625059	No	
row_260	ENSG00000109099	2575	0.14574557542800903	0.10597392	No	
row_261	ENSG00000124767	2586	0.14526905119419098	0.10545888	No	
row_262	ENSG00000122068	2595	0.14473222196102142	0.10517756	No	
row_263	ENSG00000102763	2606	0.14386329054832458	0.10465608	No	
row_264	ENSG00000099917	2613	0.14347988367080688	0.104605205	No	
row_265	ENSG00000013619	2616	0.14335210621356964	0.10502611	No	
row_266	ENSG00000138795	2618	0.14308056235313416	0.105563864	No	
row_267	ENSG00000078967	2619	0.14306321740150452	0.10621963	No	
row_268	ENSG00000164638	2629	0.14239709079265594	0.10580952	No	
row_269	ENSG00000146776	2632	0.14226588606834412	0.106225446	No	
row_270	ENSG00000129187	2635	0.14201396703720093	0.10664022	No	
row_271	ENSG00000114115	2652	0.14090831577777863	0.105396636	No	
row_272	ENSG00000108064	2659	0.1402067393064499	0.10533076	No	
row_273	ENSG00000091436	2661	0.1400498002767563	0.10585462	No	
row_274	ENSG00000172493	2669	0.13957183063030243	0.10566774	No	
row_275	ENSG00000167535	2692	0.13834016025066376	0.10370384	No	
row_276	ENSG00000178764	2699	0.13788866996765137	0.10362734	No	
row_277	ENSG00000154310	2703	0.1374376267194748	0.10390304	No	
row_278	ENSG00000155542	2709	0.13730613887310028	0.10394196	No	
row_279	ENSG00000178401	2717	0.1366785168647766	0.10374182	No	
row_280	ENSG00000116016	2738	0.1354510486125946	0.10200086	No	
row_281	ENSG00000156170	2745	0.135088250041008	0.10191152	No	
row_282	ENSG00000132842	2756	0.1346244215965271	0.10134769	No	
row_283	ENSG00000135549	2768	0.1338936686515808	0.10066242	No	
row_284	ENSG00000175592	2785	0.13271203637123108	0.09938127	No	
row_285	ENSG00000166347	2799	0.13180547952651978	0.098450236	No	
row_286	ENSG00000026508	2821	0.1304277628660202	0.09656816	No	
row_287	ENSG00000171634	2838	0.129119411110878	0.095270544	No	
row_288	ENSG00000181826	2859	0.12765517830848694	0.09349386	No	
row_289	ENSG00000151689	2861	0.12752540409564972	0.09396031	No	
row_290	ENSG00000125386	2869	0.1272743195295334	0.09371706	No	
row_291	ENSG00000026103	2876	0.12696583569049835	0.09359049	No	
row_292	ENSG00000147100	2887	0.12610018253326416	0.09298758	No	
row_293	ENSG00000180628	2923	0.1240314245223999	0.089422904	No	
row_294	ENSG00000146592	2943	0.122769296169281	0.087741904	No	
row_295	ENSG00000119900	2946	0.12265272438526154	0.088067934	No	
row_296	ENSG00000204977	2948	0.12254922091960907	0.08851157	No	
row_297	ENSG00000187239	2962	0.12178385257720947	0.08753461	No	
row_298	ENSG00000081189	2974	0.12096323817968369	0.08679006	No	
row_299	ENSG00000115935	2975	0.12092967331409454	0.08734438	No	
row_300	ENSG00000234456	2999	0.1194932609796524	0.085176	No	
row_301	ENSG00000006625	3008	0.11856227368116379	0.084774725	No	
row_302	ENSG00000168899	3012	0.11844639480113983	0.084963374	No	
row_303	ENSG00000119203	3031	0.1167023777961731	0.08337266	No	
row_304	ENSG00000174197	3044	0.11621581017971039	0.08248826	No	
row_305	ENSG00000112699	3045	0.11620259284973145	0.08302091	No	
row_306	ENSG00000149679	3050	0.11595267802476883	0.08308004	No	
row_307	ENSG00000172915	3056	0.11570949852466583	0.083019964	No	
row_308	ENSG00000198055	3064	0.11508829891681671	0.08272086	No	
