Gene	TCGA-19-4065	GLSS-HF-B972	GLSS-19-0266	GLSS-MD-0023	GLSS-HF-6658	GLSS-CU-R019	GLSS-HF-2548	GLSS-HF-3050	GLSS-19-0268	GLSS-SM-R093	GLSS-19-0271	GLSS-CU-R004	GLSS-19-0273	GLSS-SM-R063	GLSS-CU-P102	GLSS-19-0270	GLSS-MD-LP04	GLSS-MD-0022	GLSS-19-0272	GLSS-SM-R103	GLSS-SM-R080	GLSS-SM-R066	GLSS-SM-R088	GLSS-MD-0035	TCGA-06-0125	GLSS-19-0274	GLSS-HF-57AE	GLSS-19-0267	GLSS-HF-EE74	GLSS-HF-6504	TCGA-06-0210	GLSS-19-0277	GLSS-SM-R060	GLSS-19-0276	GLSS-SM-R068	GLSS-19-0278	GLSS-19-0280	GLSS-HK-0003	GLSS-CU-P069	GLSS-HF-DF35	GLSS-CU-P055	GLSS-MD-0042	TCGA-14-1034	GLSS-CU-P003	GLSS-SM-R064	GLSS-SM-R083	TCGA-19-0957	GLSS-19-0275	GLSS-HK-0001	GLSS-19-0269	GLSS-CU-P046	GLSS-MD-0026	GLSS-SM-R065	GLSS-HF-9A7A
APOBEC3B	1.1096989	1.6902144	1.3880447	-0.7828847	-1.0273451	1.458855	0.9401717	1.6726803	1.9999917	-0.52242726	1.1036057	-1.1205227	1.847242	0.8860012	-1.2918375	1.5737102	1.9718606	-0.6114756	2.0895822	0.90317935	1.0091755	-0.8957964	0.63854504	-1.4105603	-0.91285807	1.9204454	0.7719604	1.2692021	1.080405	-0.73709387	-0.5203336	1.2039467	-1.2486485	0.8395621	0.7456055	1.2340761	1.0528738	1.222921	1.151183	1.0682949	-1.507817	-0.8508914	1.0854354	1.4810055	0.89761424	1.6570249	1.1056343	1.1818467	1.0942706	0.8796767	-0.8154688	-0.6737616	1.1097769	1.1081104
AR	-6.3546433	6.990932	12.891153	-7.8161454	-8.083713	-7.049716	-5.5969267	-7.798777	13.174042	-8.077558	12.844726	-10.984193	13.267552	-8.435232	-7.053553	13.702544	-6.29605	-8.725217	13.725418	-6.0669575	-8.192049	-6.9860168	-8.956187	-7.1978025	-10.363353	13.290807	-7.1618996	12.854013	5.726595	-5.8748226	-8.446946	13.365808	-9.367928	13.00331	11.520177	13.535767	13.636362	-6.7764816	-7.1609263	-6.9827228	-8.192226	-7.4202533	-10.379946	-8.907342	-5.9872704	8.771041	12.901068	13.318866	-7.474981	13.08418	-8.173002	-7.9106774	4.2000093	-7.9037857
ARID1A	-7.982873	-7.968886	-7.1351137	-5.693076	-8.532054	-7.1113276	-7.146606	-7.8928313	-7.4811625	-5.170999	-6.1256027	-5.153449	-7.144158	-8.153697	-6.1840243	-6.7128935	-8.060916	-7.8105	-5.560597	-4.086922	-7.7019787	-3.8477917	-8.150614	-4.4400063	-7.5372043	-6.5818176	-9.716365	-7.096571	-7.414232	-8.752531	-8.1436205	-6.2269344	-5.322525	-6.965499	-5.283942	-6.8854322	-8.007559	-7.3786974	-8.94222	-7.5123253	-8.975186	-7.529079	-9.2579	-9.493373	-3.5216799	-5.0198417	-4.7926188	-6.785831	-8.285553	-7.2957673	-8.332663	-6.7928567	-5.003092	-8.067578
ARID1B	-6.851767	-6.3962474	-5.619	-3.7806077	-5.7825036	-5.708891	-5.909784	-6.1472864	-6.2875776	-3.7399337	-5.652664	-3.4694977	-5.3011575	-5.150829	-4.226267	-5.1824803	-5.678819	-5.205129	-4.2080765	-3.5590024	-5.049337	-3.1358428	-5.400437	-3.0278974	-5.4358354	-4.799179	-6.915914	-5.5080543	-5.785278	-6.4641027	-5.556631	-5.118369	-3.9774747	-4.926927	-3.8722022	-4.7378745	-6.037603	-4.620256	-5.738895	-5.8492107	-4.864727	-4.972661	-6.9524994	-6.2812552	-2.6361551	-3.7871256	-4.696197	-5.2738853	-7.0571632	-5.4213915	-5.6595936	-4.8395996	-3.531509	-6.263872
ARID2	-15.253512	-14.258152	-14.607104	-11.31616	-18.134136	-14.098497	-14.207493	-16.124758	12.413873	-12.686252	12.617922	-15.248486	-12.922202	-16.182722	-11.606634	13.215952	-14.827423	-15.050151	12.950142	-9.218249	-16.484634	-10.715547	-20.377224	-10.071723	-17.776814	-13.775456	-17.727571	12.0465765	-13.908525	-16.111382	-18.266777	-13.985289	-13.386575	12.240053	12.368135	-16.140123	-16.039804	-14.3949375	-16.407621	-16.108181	-17.772015	-15.821527	-20.884995	-21.58972	-9.97156	-13.025114	-13.574106	13.146436	-16.192465	-13.152103	-16.38534	-15.766647	-7.539672	-17.381899
ARID3A	-5.4121633	-6.3327894	-5.39292	-3.1815646	-6.1235294	-5.192762	-5.24935	-4.9907565	-4.536553	-3.6928813	-5.414484	-3.0448194	-5.2099295	-5.2859344	-3.5944269	-5.6191626	-5.6988072	-4.080346	-4.8088627	-2.2997367	-5.0008	-2.0700738	-5.8254333	-2.217795	-4.2943926	-4.230091	-7.1204624	-5.341069	-4.7737226	-5.8974915	-6.0584655	-5.7837124	-3.3517456	-4.925033	-3.1392143	-4.951444	-5.948201	-4.3813834	-5.647049	-5.770907	-5.644872	-5.0773225	-5.4489026	-6.621612	-2.6995668	-4.3569436	-4.46689	-4.9622993	-6.1638494	-5.076465	-6.124587	-4.810186	-3.5921004	-5.8391676
ARID3B	0.68824595	1.586039	0.74893314	1.1577218	-0.8826996	1.0848495	1.0413738	-1.1439832	1.021641	1.387437	1.4653009	-0.8878458	1.3676502	0.73046625	-1.0377018	0.97192794	-0.7889284	-0.9295796	1.3483115	-0.9253675	0.7828136	-1.1399283	-1.5018561	-1.7952707	-0.96694577	0.90319186	0.9694394	1.4329928	0.7569956	-0.81752735	-0.93941265	1.0523764	1.3190995	1.0550538	1.3826468	0.9452523	-1.0928587	-1.1521674	-1.0350199	0.72602254	0.98199195	-1.3480716	1.0595378	-0.7162666	0.6364942	1.1109657	1.4253925	0.60863614	1.2865087	0.96390545	-1.4625791	-1.079305	1.0866777	1.5048681
ARNT	-9.967648	-10.838378	-10.116561	-7.8424783	-11.206345	-10.252695	-10.272524	-10.801448	-9.469339	-6.7756553	-8.53719	-7.734942	-9.160131	-9.580598	-8.718562	-8.563007	-10.486149	-9.293635	-7.831166	-5.2999396	-8.986102	-5.7339087	-11.092083	-5.8749394	-10.953787	-7.6726327	-11.808552	-9.308259	-10.861568	-11.702184	-11.110498	-8.333077	-6.742613	-10.027923	-6.524655	-10.773239	-10.519388	-8.294236	-10.657118	-9.853692	-11.934814	-9.89646	-11.72045	-11.416014	-4.268665	-7.0591893	-7.6904335	-9.018606	-10.903031	-8.229527	-11.399497	-8.481562	-5.5008636	-10.424908
ARNTL	-8.2496395	-10.012315	-8.544088	-5.8021407	-10.1459465	-7.9104533	-7.9310255	-8.628315	-9.192059	-6.188002	-7.8821983	-6.279238	-8.021839	-8.167504	-6.2684307	-8.512671	-9.573786	-8.713771	-7.081736	-4.2372646	-7.6514535	-4.1048994	-9.909314	-4.0894246	-8.555687	-8.133919	-11.223027	-7.6755123	-8.441229	-10.6526575	-9.973825	-8.294881	-6.560334	-8.1721735	-6.3665657	-9.08082	-9.136955	-7.6679053	-8.125449	-8.892481	-9.304805	-8.5533285	-10.415378	-10.745427	-3.9701636	-6.8508344	-7.3468385	-7.9639077	-9.471904	-8.772623	-9.936344	-7.666553	-4.483247	-9.231545
ARRB1	-9.119533	-12.7087965	-10.158618	-5.4924946	-12.080849	-9.502689	-9.201217	-10.874859	-10.011653	-6.2649503	-11.081029	-4.7229905	-10.6905775	-9.420495	-6.008954	-9.834534	-10.736834	-7.1199837	-9.050029	-3.769596	-9.274117	4.926474	-10.939407	-4.287559	-9.818724	-9.225215	-13.622101	-9.002684	-9.884034	-11.882834	-11.629039	-10.680012	-7.518864	-9.786822	-7.5552516	-9.657554	-11.08329	-8.148614	-9.456373	-11.621884	-10.123745	-8.805477	-9.5164175	-12.459904	-5.066109	-8.396526	-9.358597	-9.49391	-12.179048	-11.108952	-9.380778	-10.110049	-5.1966944	-11.907929
